% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Secondstatic
% Year   Doy      Second         dn(m)         de(m)         du(m)    ZTD(m)  nSat   GDOP    PDOP
2017      73   45313.000        -1.721         0.502         0.489     2.641   10   1.756   1.565
2017      73   45314.000        -1.833         0.293         0.513     2.769   10   1.756   1.565
2017      73   45315.000        -1.668         0.378         0.011     2.665   10   1.757   1.565
2017      73   45316.000        -1.418         0.344        -0.109     2.505   10   1.757   1.565
2017      73   45317.000        -1.380         0.326         0.043     2.526   10   1.757   1.565
2017      73   45318.000        -1.288         0.290        -0.127     2.489   10   1.757   1.565
2017      73   45319.000        -1.326         0.235        -0.227     2.481   10   1.757   1.565
2017      73   45320.000        -1.436         0.207         0.047     2.472   10   1.757   1.565
2017      73   45321.000        -1.417         0.147         0.247     2.451   10   1.757   1.566
2017      73   45322.000        -1.434         0.092         0.282     2.438   10   1.758   1.566
2017      73   45323.000        -1.420         0.063         0.239     2.430   10   1.758   1.566
2017      73   45324.000        -1.315        -0.080        -0.003     2.388   10   1.758   1.566
2017      73   45325.000        -1.250        -0.104         0.015     2.374   10   1.758   1.566
2017      73   45326.000        -1.169        -0.117        -0.223     2.361   10   1.758   1.566
2017      73   45327.000        -1.154        -0.162        -0.268     2.345   10   1.758   1.566
2017      73   45328.000        -1.129        -0.207        -0.277     2.346   10   1.758   1.566
2017      73   45329.000        -1.171        -0.273        -0.226     2.365   10   1.759   1.567
2017      73   45330.000        -1.223        -0.306        -0.193     2.385   10   1.759   1.567
2017      73   45331.000        -1.381        -0.350        -0.046     2.425   10   1.759   1.567
2017      73   45332.000        -1.519        -0.405         0.048     2.466   10   1.759   1.567
2017      73   45333.000        -1.580        -0.421         0.059     2.488   10   1.759   1.567
2017      73   45334.000        -1.593        -0.446         0.090     2.497   10   1.759   1.567
2017      73   45335.000        -1.644        -0.423         0.201     2.513   10   1.759   1.567
2017      73   45336.000        -1.660        -0.417         0.178     2.511   10   1.760   1.567
2017      73   45337.000        -1.754        -0.408         0.298     2.533   10   1.760   1.567
2017      73   45339.000        -1.719        -0.369         0.260     2.519   10   1.760   1.568
2017      73   45345.000        -1.604        -0.321         0.113     2.482   10   1.761   1.568
2017      73   45348.000        -1.462        -0.261        -0.028     2.449   10   1.761   1.569
2017      73   45349.000        -1.406        -0.216        -0.031     2.435   10   1.761   1.569
2017      73   45350.000        -1.325        -0.160        -0.033     2.423   10   1.761   1.569
2017      73   45351.000        -1.232        -0.127        -0.131     2.405   10   1.762   1.569
2017      73   45352.000        -1.179        -0.104        -0.152     2.389   10   1.762   1.569
2017      73   45353.000        -1.128        -0.063        -0.100     2.387    9   1.937   1.703
2017      73   45354.000        -1.091        -0.039        -0.034     2.384    9   1.937   1.704
2017      73   45355.000        -1.091         0.003        -0.008     2.386    9   1.937   1.704
2017      73   45356.000        -1.073         0.029         0.044     2.389    9   1.938   1.704
2017      73   45357.000        -1.101         0.034         0.115     2.400    9   1.938   1.704
2017      73   45358.000        -1.132         0.035         0.144     2.406    9   1.938   1.704
2017      73   45359.000        -1.160         0.038         0.214     2.413    9   1.938   1.705
2017      73   45360.000        -1.188         0.024         0.285     2.417    9   1.939   1.705
2017      73   45361.000        -1.205         0.018         0.334     2.421    9   1.939   1.705
2017      73   45362.000        -1.204         0.017         0.386     2.423    9   1.939   1.705
2017      73   45363.000        -1.231         0.035         0.452     2.428    9   1.939   1.705
2017      73   45364.000        -1.236         0.025         0.502     2.430    9   1.940   1.705
2017      73   45365.000        -1.249         0.029         0.582     2.435    9   1.940   1.706
2017      73   45366.000        -1.267         0.040         0.655     2.440    9   1.940   1.706
2017      73   45367.000        -1.259         0.040         0.711     2.441    9   1.940   1.706
2017      73   45368.000        -1.245         0.018         0.769     2.442    9   1.940   1.706
2017      73   45369.000        -1.235         0.015         0.818     2.442    9   1.941   1.706
2017      73   45370.000        -1.223         0.025         0.855     2.444    9   1.941   1.707
2017      73   45371.000        -1.203         0.034         0.880     2.446    9   1.941   1.707
2017      73   45372.000        -1.190         0.038         0.902     2.449    9   1.941   1.707
2017      73   45373.000        -1.161         0.036         0.916     2.452    9   1.942   1.707
2017      73   45374.000        -1.126         0.040         0.897     2.452    9   1.942   1.707
2017      73   45375.000        -1.095         0.047         0.876     2.454    9   1.942   1.708
2017      73   45376.000        -1.078         0.049         0.870     2.457    9   1.942   1.708
2017      73   45377.000        -1.095         0.051         0.864     2.462    9   1.943   1.708
2017      73   45378.000        -1.096         0.051         0.841     2.467    9   1.943   1.708
2017      73   45379.000        -1.105         0.039         0.824     2.471    9   1.943   1.708
2017      73   45380.000        -1.095         0.033         0.801     2.470    9   1.943   1.709
