% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second         dn(m)         de(m)         du(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19       0.000   5093030.810   3671992.628   1047403.718     3.488    8   1.764   1.578
2015      19      30.000   5093001.425   3672001.369   1047515.951     2.162    8   1.764   1.578
2015      19      60.000   5093007.840   3671996.408   1047502.154     2.314    8   1.764   1.578
2015      19      90.000   5093005.148   3671998.352   1047508.429     2.297    8   1.764   1.578
2015      19     120.000   5093006.050   3671997.893   1047505.650     2.328    8   1.764   1.578
2015      19     150.000   5093005.337   3671998.624   1047506.554     2.353    8   1.764   1.578
2015      19     180.000   5093003.952   3672000.306   1047507.391     2.341    8   1.764   1.578
2015      19     210.000   5093003.111   3672001.294   1047508.018     2.350    8   1.763   1.578
2015      19     240.000   5093002.205   3672002.029   1047509.847     2.345    8   1.763   1.577
2015      19     270.000   5093002.973   3672001.682   1047507.331     2.350    8   1.763   1.577
2015      19     300.000   5093003.492   3672001.296   1047506.161     2.349    8   1.762   1.576
2015      19     330.000   5093004.010   3672000.771   1047505.482     2.348    8   1.762   1.576
2015      19     360.000   5093003.806   3672000.969   1047505.777     2.352    8   1.761   1.576
2015      19     390.000   5093004.179   3672000.661   1047505.045     2.351    8   1.760   1.575
2015      19     420.000   5093004.426   3672000.508   1047504.379     2.353    8   1.759   1.574
2015      19     450.000   5093004.316   3672000.607   1047504.568     2.350    8   1.759   1.574
2015      19     480.000   5093004.183   3672000.726   1047504.794     2.347    8   1.758   1.573
2015      19     510.000   5093004.074   3672000.776   1047505.151     2.347    8   1.757   1.572
2015      19     540.000   5093004.127   3672000.768   1047504.920     2.345    8   1.756   1.571
2015      19     570.000   5093003.828   3672001.009   1047505.531     2.345    8   1.755   1.571
2015      19     600.000   5093004.099   3672000.799   1047504.949     2.344    8   1.754   1.570
2015      19     630.000   5093004.246   3672000.616   1047504.877     2.345    8   1.753   1.569
2015      19     660.000   5093004.177   3672000.663   1047505.050     2.344    8   1.751   1.568
2015      19     690.000   5093004.208   3672000.630   1047505.013     2.344    8   1.750   1.567
