% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second        Lat(deg)        Lon(deg)     Height(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19       0.000    44.519908230    11.646804998       39.4661    6.5605    7  2.2527  1.9912
2015      19      30.000    44.519937969    11.646818531       47.7112    3.4493    7  2.2463  1.9858
2015      19      60.000    44.519951983    11.646817897       48.8884    2.7939    7  2.2398  1.9804
2015      19      90.000    44.519953597    11.646814877       49.2294    2.6850    7  2.2332  1.9749
2015      19     120.000    44.519957008    11.646815362       49.6651    2.4444    6  2.7278  2.3414
2015      19     150.000    44.519957940    11.646814156       49.8067    2.4342    6  2.7282  2.3412
2015      19     180.000    44.519957568    11.646813699       49.5271    2.4858    6  2.7286  2.3409
2015      19     210.000    44.519958136    11.646813099       49.5578    2.4747    6  2.7289  2.3406
2015      19     240.000    44.519957709    11.646813041       49.5821    2.4651    6  2.7291  2.3402
2015      19     270.000    44.519957767    11.646813150       49.5597    2.4589    6  2.7293  2.3399
2015      19     300.000    44.519958176    11.646813482       49.5260    2.4690    7  2.1865  1.9360
2015      19     330.000    44.519958125    11.646813756       49.4289    2.4842    7  2.1798  1.9304
2015      19     360.000    44.519958184    11.646813632       49.5287    2.4586    8  1.9671  1.7640
2015      19     390.000    44.519958330    11.646813994       49.5575    2.4485    7  2.4934  2.1577
2015      19     420.000    44.519958221    11.646814288       49.6291    2.4320    7  2.4963  2.1595
2015      19     450.000    44.519958276    11.646814501       49.6638    2.4262    7  2.4993  2.1613
2015      19     480.000    44.519958312    11.646814938       49.7423    2.4078    7  2.5021  2.1631
2015      19     510.000    44.519958387    11.646815001       49.7972    2.3927    8  1.9479  1.7472
2015      19     540.000    44.519958397    11.646815380       49.7805    2.3927    8  1.9440  1.7438
2015      19     570.000    44.519958398    11.646815640       49.7690    2.4041    8  1.9400  1.7404
2015      19     600.000    44.519958410    11.646815762       49.7454    2.4103    8  1.9361  1.7370
2015      19     630.000    44.519958557    11.646815830       49.7830    2.4059    7  2.5163  2.1719
2015      19     660.000    44.519958712    11.646815680       49.8025    2.4049    7  2.5191  2.1737
2015      19     690.000    44.519958836    11.646815665       49.7883    2.4072    7  2.5218  2.1754
2015      19     720.000    44.519958932    11.646815855       49.8090    2.4028    7  2.5245  2.1771
2015      19     750.000    44.519958991    11.646815864       49.8114    2.4016    7  2.5273  2.1789
2015      19     780.000    44.519958977    11.646815823       49.7713    2.4067    7  2.5299  2.1806
2015      19     810.000    44.519958982    11.646815718       49.7525    2.4122    8  1.9081  1.7130
2015      19     840.000    44.519958983    11.646815841       49.7588    2.4110    8  1.9041  1.7096
2015      19     870.000    44.519958963    11.646815843       49.7361    2.4143    8  1.9000  1.7062
2015      19     900.000    44.519958917    11.646815963       49.7326    2.4131    8  1.8960  1.7027
2015      19     930.000    44.519958948    11.646816051       49.7377    2.4115    8  1.8920  1.6993
2015      19     960.000    44.519958933    11.646815963       49.7252    2.4123    8  1.8880  1.6959
2015      19     990.000    44.519958921    11.646816096       49.7504    2.4081    7  2.5483  2.1926
2015      19    1020.000    44.519958906    11.646816147       49.7383    2.4084    7  2.5509  2.1943
2015      19    1050.000    44.519958898    11.646816218       49.7295    2.4083    7  2.5534  2.1960
2015      19    1080.000    44.519958914    11.646816300       49.7240    2.4083    7  2.5559  2.1977
2015      19    1110.000    44.519958944    11.646816283       49.7275    2.4065    7  2.5584  2.1994
2015      19    1140.000    44.519958956    11.646816331       49.7460    2.4036    7  2.5609  2.2011
2015      19    1170.000    44.519958975    11.646816398       49.7609    2.4014    7  2.5633  2.2028
2015      19    1200.000    44.519958972    11.646816514       49.7751    2.3997    7  2.5658  2.2045
2015      19    1230.000    44.519958994    11.646816587       49.7946    2.3983    7  2.5682  2.2061
2015      19    1260.000    44.519959004    11.646816615       49.8055    2.3981    7  2.5705  2.2078
