% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second        Lat(deg)        Lon(deg)     Height(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19       0.000    57.395297791    11.925513199       42.3517    3.1461    7  3.5296  3.0094
2015      19      30.000    57.395297202    11.925521629       46.4137    2.2777    7  3.5078  2.9912
2015      19      60.000    57.395299269    11.925521912       46.9067    2.0661    7  3.4861  2.9731
2015      19      90.000    57.395301303    11.925522674       46.7967    2.0960    7  3.4644  2.9551
2015      19     120.000    57.395302097    11.925521756       46.4908    2.1826    7  3.4428  2.9371
2015      19     150.000    57.395302293    11.925520609       46.2295    2.2486    7  3.4212  2.9192
2015      19     180.000    57.395301876    11.925520930       45.9386    2.2873    7  3.3997  2.9014
2015      19     210.000    57.395301625    11.925520572       45.9830    2.3004    7  3.3784  2.8837
2015      19     240.000    57.395301218    11.925518437       46.0717    2.3036    7  3.3571  2.8661
2015      19     270.000    57.395301381    11.925518328       45.9084    2.3098    7  3.3359  2.8486
2015      19     300.000    57.395300981    11.925519066       45.8244    2.3136    7  3.3149  2.8313
2015      19     330.000    57.395300662    11.925519154       45.7863    2.3171    7  3.2940  2.8140
2015      19     360.000    57.395300535    11.925520264       45.7450    2.3238    7  3.2732  2.7969
2015      19     390.000    57.395300498    11.925520168       45.7402    2.3288    6  3.3114  2.8483
2015      19     420.000    57.395300372    11.925520669       45.7062    2.3350    7  2.7860  2.4336
2015      19     450.000    57.395300330    11.925520415       45.6968    2.3398    7  2.7855  2.4331
2015      19     480.000    57.395300456    11.925520267       45.7000    2.3401    7  2.7847  2.4323
2015      19     510.000    57.395300357    11.925520362       45.7250    2.3390    7  2.7835  2.4312
2015      19     540.000    57.395300324    11.925519930       45.7081    2.3415    7  2.7820  2.4298
2015      19     570.000    57.395300417    11.925519719       45.6940    2.3445    7  2.7801  2.4282
2015      19     600.000    57.395300388    11.925519470       45.6923    2.3499    7  2.7779  2.4262
2015      19     630.000    57.395300464    11.925518941       45.6897    2.3508    7  2.7753  2.4240
2015      19     660.000    57.395300428    11.925519004       45.6845    2.3543    7  2.7723  2.4214
2015      19     690.000    57.395300371    11.925519202       45.6836    2.3548    7  2.7691  2.4186
2015      19     720.000    57.395300399    11.925518914       45.6846    2.3535    8  1.6528  1.4834
2015      19     750.000    57.395300422    11.925518842       45.6644    2.3559    8  1.6564  1.4865
2015      19     780.000    57.395300436    11.925518709       45.6548    2.3587    8  1.6601  1.4896
2015      19     810.000    57.395300475    11.925518424       45.6527    2.3594    8  1.6637  1.4927
2015      19     840.000    57.395300485    11.925518441       45.6409    2.3612    8  1.6674  1.4958
2015      19     870.000    57.395300490    11.925518218       45.6333    2.3619    8  1.6710  1.4989
2015      19     900.000    57.395300482    11.925518268       45.6257    2.3635    8  1.6747  1.5020
2015      19     930.000    57.395300479    11.925518259       45.6304    2.3625    8  1.6783  1.5052
2015      19     960.000    57.395300478    11.925518262       45.6263    2.3623    8  1.6820  1.5083
2015      19     990.000    57.395300525    11.925518221       45.6108    2.3647    8  1.6857  1.5114
2015      19    1020.000    57.395300502    11.925518321       45.5976    2.3669    8  1.6893  1.5146
2015      19    1050.000    57.395300497    11.925518363       45.5981    2.3664    8  1.6929  1.5177
2015      19    1080.000    57.395300513    11.925518399       45.5825    2.3688    8  1.6966  1.5209
2015      19    1110.000    57.395300515    11.925518407       45.5769    2.3687    8  1.7002  1.5240
2015      19    1140.000    57.395300505    11.925518509       45.5820    2.3666    8  1.7038  1.5272
2015      19    1170.000    57.395300490    11.925518599       45.5836    2.3657    8  1.7075  1.5303
2015      19    1200.000    57.395300478    11.925518673       45.5820    2.3656    8  1.7111  1.5335
2015      19    1230.000    57.395300474    11.925518697       45.5777    2.3658    8  1.7147  1.5366
2015      19    1260.000    57.395300503    11.925518632       45.5661    2.3674    8  1.7182  1.5397
2015      19    1290.000    57.395300519    11.925518648       45.5631    2.3675    8  1.7218  1.5429
2015      19    1320.000    57.395300498    11.925518798       45.5623    2.3675    8  1.7254  1.5460
2015      19    1350.000    57.395300500    11.925518821       45.5534    2.3691    8  1.7289  1.5491
2015      19    1380.000    57.395300518    11.925518805       45.5470    2.3700    8  1.7324  1.5522
2015      19    1410.000    57.395300517    11.925518893       45.5397    2.3712    8  1.7359  1.5553
2015      19    1440.000    57.395300509    11.925518967       45.5387    2.3720    8  1.7394  1.5584
2015      19    1470.000    57.395300487    11.925519082       45.5409    2.3725    8  1.7429  1.5615
2015      19    1500.000    57.395300492    11.925519037       45.5367    2.3724    8  1.7463  1.5645
2015      19    1530.000    57.395300505    11.925519025       45.5374    2.3722    8  1.7497  1.5676
2015      19    1560.000    57.395300506    11.925519044       45.5354    2.3724    8  1.7531  1.5706
2015      19    1590.000    57.395300491    11.925519142       45.5359    2.3726    8  1.7565  1.5736
2015      19    1620.000    57.395300485    11.925519197       45.5357    2.3729    8  1.7598  1.5766
2015      19    1650.000    57.395300479    11.925519220       45.5361    2.3727    8  1.7631  1.5796
2015      19    1680.000    57.395300489    11.925519216       45.5353    2.3721    8  1.7664  1.5826
2015      19    1710.000    57.395300470    11.925519255       45.5341    2.3729    8  1.7696  1.5855
2015      19    1740.000    57.395300462    11.925519300       45.5330    2.3735    8  1.7728  1.5884
2015      19    1770.000    57.395300465    11.925519315       45.5324    2.3730    8  1.7759  1.5913
2015      19    1800.000    57.395300461    11.925519383       45.5323    2.3730    8  1.7790  1.5942
2015      19    1830.000    57.395300441    11.925519489       45.5368    2.3732    9  1.7360  1.5576
2015      19    1860.000    57.395300429    11.925519549       45.5413    2.3730    9  1.7391  1.5605
2015      19    1890.000    57.395300416    11.925519619       45.5456    2.3724    9  1.7421  1.5634
2015      19    1920.000    57.395300403    11.925519651       45.5483    2.3719    9  1.7451  1.5662
2015      19    1950.000    57.395300401    11.925519695       45.5480    2.3717    9  1.7480  1.5690
2015      19    1980.000    57.395300390    11.925519756       45.5497    2.3719    9  1.7509  1.5717
2015      19    2010.000    57.395300370    11.925519845       45.5544    2.3720    9  1.7537  1.5744
2015      19    2040.000    57.395300362    11.925519884       45.5542    2.3724    9  1.7564  1.5771
2015      19    2070.000    57.395300354    11.925519909       45.5548    2.3725    9  1.7592  1.5797
2015      19    2100.000    57.395300355    11.925519924       45.5552    2.3726    9  1.7618  1.5823
2015      19    2130.000    57.395300366    11.925519892       45.5552    2.3721    9  1.7644  1.5848
2015      19    2160.000    57.395300374    11.925519873       45.5547    2.3717    9  1.7669  1.5873
