% Program : PPPBox
% Positioning Mode : kinematic
% Year   Doy      Second        Lat(deg)        Lon(deg)     Height(m)    ZTD(m)  nSat   GDOP    PDOP
2014     313   18665.000    30.325899480   114.418514011       30.9106    0.8833   10  2.0028  1.7707
2014     313   18666.000    30.325984762   114.418485045       30.7714    0.8923   10  2.0028  1.7707
2014     313   18667.000    30.326069453   114.418456182       30.6826    0.8957   10  2.0027  1.7706
2014     313   18668.000    30.326154346   114.418427236       30.5536    0.9092   10  2.0027  1.7706
2014     313   18669.000    30.326239152   114.418398021       30.4919    0.9147   10  2.0027  1.7706
2014     313   18670.000    30.326323613   114.418367270       30.2811    0.9595   10  2.0026  1.7706
2014     313   18671.000    30.326407653   114.418335740       30.0220    1.0220   10  2.0026  1.7705
2014     313   18672.000    30.326492471   114.418306908       29.8786    1.0348   10  2.0025  1.7705
2014     313   18673.000    30.326577814   114.418279939       29.6227    1.0869   10  2.0025  1.7705
2014     313   18674.000    30.326663590   114.418253701       29.5597    1.0854   10  2.0024  1.7704
2014     313   18675.000    30.326749283   114.418227055       29.4974    1.0815   10  2.0024  1.7704
2014     313   18676.000    30.326834988   114.418199927       29.3653    1.0955   10  2.0024  1.7704
2014     313   18677.000    30.326920449   114.418172441       29.2177    1.1157   10  2.0023  1.7703
2014     313   18678.000    30.327005919   114.418144548       28.9579    1.1666   10  2.0023  1.7703
2014     313   18679.000    30.327091737   114.418116275       28.7661    1.1984   10  2.0022  1.7703
2014     313   18680.000    30.327178467   114.418087552       28.5923    1.2283   10  2.0022  1.7702
2014     313   18681.000    30.327265950   114.418058371       28.4400    1.2518   10  2.0021  1.7702
2014     313   18682.000    30.327354021   114.418028820       28.4154    1.2412   10  2.0021  1.7702
2014     313   18683.000    30.327442690   114.417998915       28.3853    1.2341   10  2.0021  1.7701
2014     313   18684.000    30.327531781   114.417968627       28.2538    1.2557   10  2.0020  1.7701
2014     313   18685.000    30.327621495   114.417938279       28.1143    1.2766   10  2.0020  1.7701
2014     313   18686.000    30.327711580   114.417908015       28.0462    1.2716   10  2.0019  1.7700
2014     313   18687.000    30.327801872   114.417877665       27.8859    1.3105   10  2.0019  1.7700
2014     313   18688.000    30.327892300   114.417847415       27.5747    1.3651   10  2.0018  1.7700
2014     313   18689.000    30.327982599   114.417816868       27.2764    1.4349   10  2.0018  1.7699
2014     313   18690.000    30.328072706   114.417786166       26.9832    1.5044   10  2.0017  1.7699
2014     313   18691.000    30.328162695   114.417755723       26.7527    1.5542   10  2.0017  1.7699
2014     313   18692.000    30.328252530   114.417725354       26.5490    1.5902   10  2.0017  1.7698
2014     313   18693.000    30.328342172   114.417695317       26.4194    1.6088   10  2.0016  1.7698
2014     313   18694.000    30.328431444   114.417665651       26.2635    1.6235   10  2.0016  1.7698
2014     313   18695.000    30.328520498   114.417636270       26.1027    1.6562   10  2.0015  1.7697
2014     313   18696.000    30.328609548   114.417607049       25.9940    1.6679   10  2.0015  1.7697
2014     313   18697.000    30.328698621   114.417577493       25.8949    1.6824   10  2.0014  1.7697
2014     313   18698.000    30.328787445   114.417547762       25.7830    1.6967   10  2.0014  1.7696
2014     313   18699.000    30.328876048   114.417517761       25.6412    1.7263   10  2.0013  1.7696
2014     313   18700.000    30.328964489   114.417487771       25.5065    1.7522   10  2.0013  1.7696
2014     313   18701.000    30.329053077   114.417457976       25.3760    1.7691   10  2.0012  1.7695
2014     313   18702.000    30.329141710   114.417428113       25.2604    1.7805   10  2.0012  1.7695
2014     313   18703.000    30.329230365   114.417398436       25.1854    1.7859   10  2.0011  1.7695
2014     313   18704.000    30.329318916   114.417368795       25.0953    1.7982   10  2.0011  1.7694
2014     313   18705.000    30.329407944   114.417338949       24.9893    1.8158    9  2.4962  2.1831
2014     313   18706.000    30.329497803   114.417308712       24.8991    1.8239    9  2.4963  2.1831
2014     313   18707.000    30.329588922   114.417277864       24.7691    1.8442    9  2.4964  2.1832
2014     313   18708.000    30.329681107   114.417246678       24.6332    1.8681    9  2.4965  2.1833
2014     313   18709.000    30.329774140   114.417215240       24.4942    1.8937    9  2.4965  2.1834
2014     313   18710.000    30.329867819   114.417183360       24.3431    1.9150    9  2.4966  2.1835
2014     313   18711.000    30.329962204   114.417151092       24.1548    1.9447    9  2.4967  2.1836
2014     313   18712.000    30.330056126   114.417118600       24.0669    1.9819   10  2.0007  1.7692
2014     313   18713.000    30.330151357   114.417085614       23.7404    2.0147    9  2.6625  2.3065
2014     313   18714.000    30.330246102   114.417052664       23.5591    2.0419    9  2.6623  2.3063
2014     313   18715.000    30.330340433   114.417019715       23.3861    2.0646    9  2.6621  2.3061
2014     313   18716.000    30.330434420   114.416987039       23.2407    2.0803   10  2.0005  1.7690
2014     313   18717.000    30.330528156   114.416954616       23.1144    2.0917   10  2.0005  1.7690
2014     313   18718.000    30.330621651   114.416921844       22.9914    2.1083   10  2.0004  1.7689
2014     313   18719.000    30.330714835   114.416888383       22.8469    2.1251   10  2.0004  1.7689
2014     313   18720.000    30.330807788   114.416853975       22.7734    2.1296    9  2.1266  1.8694
2014     313   18721.000    30.330900405   114.416818441       22.7154    2.1328    9  2.1264  1.8693
2014     313   18722.000    30.330992898   114.416782185       22.6528    2.1349    9  2.1263  1.8692
2014     313   18723.000    30.331085693   114.416746200       22.6116    2.1370    9  2.1261  1.8690
