% Program : PPPBox
% Positioning Mode : static
% Year   Doy      Second        Lat(deg)        Lon(deg)     Height(m)    ZTD(m)  nSat   GDOP    PDOP
2015      19       0.000    42.556106779    23.394734715     1118.9078    2.0081    8  1.9095  1.6895
2015      19      30.000    42.556100303    23.394733777     1117.8915    2.3673    8  1.9124  1.6916
2015      19      60.000    42.556097004    23.394732142     1117.7608    2.3560    8  1.9153  1.6937
2015      19      90.000    42.556095256    23.394730930     1118.2611    2.2675    8  1.9183  1.6958
2015      19     120.000    42.556093945    23.394730705     1118.7867    2.2503    8  1.9213  1.6979
2015      19     150.000    42.556092650    23.394730710     1119.1803    2.2039    8  1.9242  1.7001
2015      19     180.000    42.556092795    23.394729914     1119.0135    2.2357    8  1.9272  1.7022
2015      19     210.000    42.556093181    23.394729997     1118.9312    2.2498    8  1.9302  1.7044
2015      19     240.000    42.556093353    23.394731127     1118.8752    2.2707    8  1.9332  1.7066
2015      19     270.000    42.556093816    23.394731014     1118.9967    2.2472    8  1.9362  1.7088
2015      19     300.000    42.556094513    23.394731446     1119.0266    2.2198    8  1.9393  1.7110
2015      19     330.000    42.556094559    23.394732017     1118.9933    2.2196    7  2.4471  2.1254
2015      19     360.000    42.556094655    23.394732221     1118.9417    2.2265    7  2.4497  2.1270
2015      19     390.000    42.556095161    23.394732270     1118.9547    2.2096    7  2.4523  2.1285
2015      19     420.000    42.556095190    23.394732145     1118.9445    2.2049    7  2.4549  2.1301
2015      19     450.000    42.556095233    23.394732269     1118.9987    2.1892    7  2.4575  2.1316
2015      19     480.000    42.556095286    23.394732591     1119.0562    2.1769    7  2.4600  2.1332
2015      19     510.000    42.556095476    23.394732799     1119.1083    2.1735    7  2.4626  2.1347
2015      19     540.000    42.556095598    23.394733137     1119.1681    2.1656    7  2.4651  2.1362
2015      19     570.000    42.556095666    23.394733303     1119.1983    2.1567    7  2.4677  2.1377
2015      19     600.000    42.556095644    23.394733225     1119.1897    2.1558    7  2.4702  2.1393
2015      19     630.000    42.556095675    23.394733466     1119.1486    2.1618    7  2.4727  2.1408
2015      19     660.000    42.556095679    23.394733791     1119.1317    2.1659    7  2.4752  2.1423
2015      19     690.000    42.556095655    23.394733897     1119.1023    2.1728    7  2.4776  2.1438
2015      19     720.000    42.556095739    23.394733760     1119.0898    2.1777    7  2.4801  2.1454
2015      19     750.000    42.556095915    23.394733666     1119.0626    2.1823    7  2.4825  2.1469
2015      19     780.000    42.556096024    23.394733616     1119.0401    2.1842    7  2.4850  2.1484
